name,dat,traj,frames,duration_ns,aso_beads,n_aso_total,encounter_beads,binding_beads,encounter_frac,mean_occupancy,max_occupancy,figure,summary,f_site_com_10,kd_molar_com_10,dg_kcal_com_10,n_events_com_10,n_binders_com_10,mean_dwell_frames_com_10,f_site_com_12,kd_molar_com_12,dg_kcal_com_12,n_events_com_12,n_binders_com_12,mean_dwell_frames_com_12,f_site_com_15,kd_molar_com_15,dg_kcal_com_15,n_events_com_15,n_binders_com_15,mean_dwell_frames_com_15,f_site_com_20,kd_molar_com_20,dg_kcal_com_20,n_events_com_20,n_binders_com_20,mean_dwell_frames_com_20
100ASO_all_purine_unmodified,./configs/100ASO_all_purine_unmodified.dat,./outputs/100ASO_all_purine_unmodified.lammpstrj,1361,680.0,10,100,8,10,0.2909625275532697,0.3585598824393828,4,kd_analysis/Kd_two_tier_100ASO_all_purine_unmodified.png,kd_analysis/Kd_two_tier_100ASO_all_purine_unmodified.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.01322556943423953,3.0244427401775136,0.6597198790937369,3,3,6.0
100ASO_extended_12mer_unmodified,./configs/100ASO_extended_12mer_unmodified.dat,./outputs/100ASO_extended_12mer_unmodified.lammpstrj,560,279.5,12,100,10,12,0.6410714285714286,0.7678571428571429,4,kd_analysis/Kd_two_tier_100ASO_extended_12mer_unmodified.png,kd_analysis/Kd_two_tier_100ASO_extended_12mer_unmodified.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0
100ASO_extended_14mer_unmodified,./configs/100ASO_extended_14mer_unmodified.dat,./outputs/100ASO_extended_14mer_unmodified.lammpstrj,392,195.5,14,100,12,14,0.3852040816326531,0.46683673469387754,3,kd_analysis/Kd_two_tier_100ASO_extended_14mer_unmodified.png,kd_analysis/Kd_two_tier_100ASO_extended_14mer_unmodified.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0
100ASO_mismatch_G6A_unmodified,./configs/100ASO_mismatch_G6A_unmodified.dat,./outputs/100ASO_mismatch_G6A_unmodified.lammpstrj,808,403.5,10,100,8,10,0.1782178217821782,0.2042079207920792,3,kd_analysis/Kd_two_tier_100ASO_mismatch_G6A_unmodified.png,kd_analysis/Kd_two_tier_100ASO_mismatch_G6A_unmodified.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.01485148514851485,2.6888502674513446,0.5896106720269587,1,1,12.0,0.04084158415841584,0.9517210049435463,-0.029497024443772737,4,1,8.25
100ASO_mismatch_U5C_unmodified,./configs/100ASO_mismatch_U5C_unmodified.dat,./outputs/100ASO_mismatch_U5C_unmodified.lammpstrj,638,318.5,10,100,8,10,0.10658307210031348,0.11285266457680251,2,kd_analysis/Kd_two_tier_100ASO_mismatch_U5C_unmodified.png,kd_analysis/Kd_two_tier_100ASO_mismatch_U5C_unmodified.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0
100ASO_scrambled_unmodified,./configs/100ASO_scrambled_unmodified.dat,./outputs/100ASO_scrambled_unmodified.lammpstrj,795,397.0,10,100,8,10,0.45157232704402517,0.4716981132075472,2,kd_analysis/Kd_two_tier_100ASO_scrambled_unmodified.png,kd_analysis/Kd_two_tier_100ASO_scrambled_unmodified.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.011320754716981131,3.5402193317244524,0.7535828741393378,1,1,9.0
100ASO_truncated_unmodified,./configs/100ASO_truncated_unmodified.dat,./outputs/100ASO_truncated_unmodified.lammpstrj,1430,714.5,7,100,6,7,0.33356643356643356,0.36013986013986016,2,kd_analysis/Kd_two_tier_100ASO_truncated_unmodified.png,kd_analysis/Kd_two_tier_100ASO_truncated_unmodified.txt,0.0,inf,inf,0,0,0.0,0.006993006993006993,5.756483629445529,1.0433698098251878,1,1,10.0,0.01888111888111888,2.1062562180108384,0.4440420833088836,3,2,9.0,0.0993006993006993,0.3673629448453114,-0.5969375020714458,17,6,8.352941176470589
100ASO_unmod,./configs/100ASO_unmod.dat,./outputs/100ASO_unmod.lammpstrj,7283,3641.0,10,100,8,10,0.000686530275985171,0.000686530275985171,1,kd_analysis/Kd_two_tier_100ASO_unmod.png,kd_analysis/Kd_two_tier_100ASO_unmod.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0
100ASO_unmodified_AAtoCC,./configs/100ASO_unmodified_AAtoCC.dat,./outputs/100ASO_unmodified_AAtoCC.lammpstrj,697,348.0,10,100,8,10,0.6111908177905309,0.7073170731707317,3,kd_analysis/Kd_two_tier_100ASO_unmodified_AAtoCC.png,kd_analysis/Kd_two_tier_100ASO_unmodified_AAtoCC.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.00860832137733142,4.6686219842786905,0.9185090004899196,1,1,6.0,0.07747489239598278,0.4823695828645944,-0.4345835393038976,9,1,6.0
100ASO_unmodified_loop_GG_to_AA,./configs/100ASO_unmodified_loop_GG_to_AA.dat,./outputs/100ASO_unmodified_loop_GG_to_AA.lammpstrj,717,358.0,10,100,8,10,0.4909344490934449,0.6387726638772664,3,kd_analysis/Kd_two_tier_100ASO_unmodified_loop_GG_to_AA.png,kd_analysis/Kd_two_tier_100ASO_unmodified_loop_GG_to_AA.txt,0.011157601115760111,3.592585307972783,0.762335649760796,1,1,8.0,0.011157601115760111,3.592585307972783,0.762335649760796,1,1,8.0,0.012552301255230125,3.1888605788248756,0.6912755122978048,1,1,9.0,0.019525801952580194,2.0353625643273343,0.4236327519157578,2,2,7.0
200ASO_unmod,./configs/200ASO_unmod.dat,./outputs/200ASO_unmod.lammpstrj,1066,532.5,10,200,8,10,0.3602251407129456,0.4896810506566604,3,kd_analysis/Kd_two_tier_200ASO_unmod.png,kd_analysis/Kd_two_tier_200ASO_unmod.txt,0.0,inf,inf,0,0,0.0,0.004690431519699813,6.618451585738269,1.1265464062646184,1,1,5.0,0.009380863039399626,3.2935537047952645,0.7105316093311773,2,1,5.0,0.014071294559099437,2.185254898802671,0.46599073146772924,3,2,5.0
25ASO_unmod,./configs/25ASO_unmod.dat,./outputs/25ASO_unmod.lammpstrj,2101,1050.0,10,25,8,10,0.04807234650166587,0.04807234650166587,1,kd_analysis/Kd_two_tier_25ASO_unmod.png,kd_analysis/Kd_two_tier_25ASO_unmod.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0
50ASO_unmod,./configs/50ASO_unmod.dat,./outputs/50ASO_unmod.lammpstrj,1595,797.0,10,50,8,10,0.21316614420062696,0.2213166144200627,2,kd_analysis/Kd_two_tier_50ASO_unmod.png,kd_analysis/Kd_two_tier_50ASO_unmod.txt,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.0,inf,inf,0,0,0.0,0.006896551724137931,2.9185819380661706,0.6384814347462594,2,1,5.5
